"Date","Price","Open","High","Low","Change %"
"Jan 03, 2020","6.706","6.706","6.706","6.706","0.19%"
"Jan 02, 2020","6.693","6.758","6.758","6.693","-0.96%"
"Dec 31, 2019","6.758","6.758","6.758","6.758","-0.69%"
"Dec 30, 2019","6.805","6.880","6.880","6.805","-1.31%"
"Dec 27, 2019","6.895","6.890","6.915","6.890","0.66%"
"Dec 26, 2019","6.850","6.970","6.970","6.850","-1.25%"
"Dec 24, 2019","6.937","6.937","6.937","6.937","-0.47%"
"Dec 23, 2019","6.970","7.050","7.050","6.970","-1.41%"
"Dec 20, 2019","7.070","7.115","7.115","7.070","0.07%"
"Dec 19, 2019","7.065","6.975","7.065","6.975","2.24%"
"Dec 18, 2019","6.910","6.990","6.990","6.910","-0.86%"
"Dec 17, 2019","6.970","6.885","6.990","6.885","1.38%"
"Dec 16, 2019","6.875","6.800","6.875","6.780","1.55%"
"Dec 13, 2019","6.770","6.770","6.770","6.750","0.15%"
"Dec 12, 2019","6.760","6.780","6.780","6.750","-0.29%"
"Dec 11, 2019","6.780","6.800","6.800","6.750","-0.44%"
"Dec 10, 2019","6.810","6.790","6.840","6.790","0.44%"
"Dec 09, 2019","6.780","6.775","6.790","6.755","-0.07%"
"Dec 06, 2019","6.785","6.835","6.835","6.775","-0.44%"
"Dec 05, 2019","6.815","6.810","6.830","6.810","-0.07%"
"Dec 04, 2019","6.820","6.850","6.850","6.805","-0.51%"
"Dec 03, 2019","6.855","6.890","6.890","6.855","-0.80%"
"Dec 02, 2019","6.910","6.925","6.930","6.910","0.36%"
"Nov 29, 2019","6.885","6.955","6.955","6.885","-0.86%"
"Nov 28, 2019","6.945","7.000","7.075","6.945","-1.14%"
"Nov 27, 2019","7.025","6.975","7.025","6.975","0.07%"
"Nov 26, 2019","7.020","6.915","7.020","6.915","2.56%"
"Nov 25, 2019","6.845","6.855","6.855","6.845","0.29%"
"Nov 22, 2019","6.825","6.795","6.870","6.795","-0.66%"
"Nov 21, 2019","6.870","6.525","6.870","6.525","1.57%"
"Nov 20, 2019","6.764","6.764","6.764","6.764","-0.32%"
"Nov 19, 2019","6.785","6.525","6.785","6.525","1.50%"
"Nov 18, 2019","6.685","6.525","6.725","6.525","-0.07%"
"Nov 14, 2019","6.690","6.525","6.735","6.525","-0.30%"
"Nov 13, 2019","6.710","6.770","6.830","6.710","0.15%"
"Nov 12, 2019","6.700","6.660","6.770","6.660","0.90%"
"Nov 11, 2019","6.640","6.690","6.730","6.640","-0.52%"
"Nov 08, 2019","6.675","6.680","6.730","6.580","0.53%"
"Nov 07, 2019","6.640","6.530","6.640","6.430","2.31%"
"Nov 06, 2019","6.490","6.490","6.510","6.360","0.93%"
"Nov 05, 2019","6.430","6.450","6.450","6.370","0.70%"
"Nov 04, 2019","6.385","6.330","6.390","6.330","-0.39%"
"Nov 01, 2019","6.410","6.400","6.410","6.370","-0.47%"
"Oct 31, 2019","6.440","6.440","6.440","6.440","-1.45%"
"Oct 30, 2019","6.535","6.545","6.545","6.535","0.38%"
"Oct 29, 2019","6.510","6.500","6.520","6.470","0.23%"
"Oct 28, 2019","6.495","6.510","6.525","6.495","-0.84%"
"Oct 25, 2019","6.550","6.590","6.590","6.540","-0.15%"
"Oct 24, 2019","6.560","6.560","6.560","6.560","-0.15%"
"Oct 23, 2019","6.570","6.590","6.590","6.570","-0.45%"
"Oct 22, 2019","6.600","6.590","6.640","6.510","0.69%"
"Oct 21, 2019","6.555","6.570","6.610","6.530","-0.23%"
"Oct 18, 2019","6.570","6.630","6.630","6.530","0.00%"
"Oct 17, 2019","6.570","6.690","6.690","6.530","-1.05%"
"Oct 16, 2019","6.640","6.750","6.800","6.630","-1.63%"
"Oct 15, 2019","6.750","6.690","6.770","6.620","1.05%"
"Oct 14, 2019","6.680","6.670","6.680","6.640","-0.30%"
"Oct 11, 2019","6.700","6.900","6.900","6.660","-1.90%"
"Oct 10, 2019","6.830","6.940","6.940","6.830","-1.30%"
"Oct 09, 2019","6.920","7.050","7.050","6.880","-1.00%"
"Oct 08, 2019","6.990","7.040","7.040","6.980","-0.43%"
"Oct 07, 2019","7.020","6.960","7.030","6.940","0.72%"
"Oct 04, 2019","6.970","7.000","7.000","6.940","-0.14%"
"Oct 03, 2019","6.980","7.110","7.110","6.970","-0.99%"
"Oct 02, 2019","7.050","7.020","7.080","7.010","0.71%"
"Oct 01, 2019","7.000","7.110","7.120","7.000","-0.64%"
"Sep 30, 2019","7.045","7.030","7.060","7.020","-0.07%"
"Sep 27, 2019","7.050","7.060","7.070","7.030","-0.14%"
"Sep 26, 2019","7.060","7.090","7.090","7.050","-0.42%"
"Sep 25, 2019","7.090","7.170","7.210","7.090","-0.98%"
"Sep 24, 2019","7.160","7.100","7.190","7.080","0.49%"
"Sep 23, 2019","7.125","7.090","7.125","7.080","0.78%"
"Sep 20, 2019","7.070","7.170","7.180","7.060","-1.67%"
"Sep 19, 2019","7.190","7.140","7.200","7.030","0.28%"
"Sep 18, 2019","7.170","7.235","7.235","7.130","-0.21%"
"Sep 17, 2019","7.185","7.295","7.325","7.175","-1.51%"
"Sep 16, 2019","7.295","7.395","7.415","7.285","-1.62%"
"Sep 13, 2019","7.415","7.360","7.435","7.290","1.44%"
"Sep 12, 2019","7.310","7.330","7.360","7.250","-0.27%"
"Sep 11, 2019","7.330","7.430","7.430","7.280","0.00%"
"Sep 10, 2019","7.330","7.410","7.410","7.320","-0.27%"
"Sep 09, 2019","7.350","7.335","7.375","7.295","0.34%"
"Sep 06, 2019","7.325","7.355","7.355","7.275","0.14%"
"Sep 05, 2019","7.315","7.365","7.375","7.245","0.27%"
"Sep 04, 2019","7.295","7.350","7.350","7.260","-1.02%"
"Sep 03, 2019","7.370","7.450","7.460","7.350","-0.94%"
"Sep 02, 2019","7.440","7.430","7.490","7.410","0.00%"
"Aug 30, 2019","7.440","7.590","7.590","7.410","-1.33%"
"Aug 29, 2019","7.540","7.560","7.700","7.495","-0.66%"
"Aug 28, 2019","7.590","7.500","7.600","7.460","2.29%"
"Aug 27, 2019","7.420","7.365","7.610","7.285","0.47%"
"Aug 26, 2019","7.385","7.270","7.435","7.230","1.72%"
"Aug 23, 2019","7.260","7.280","7.300","7.170","0.62%"
"Aug 22, 2019","7.215","7.180","7.230","7.180","-0.07%"
"Aug 21, 2019","7.220","7.310","7.310","7.200","-1.23%"
"Aug 20, 2019","7.310","7.230","7.410","7.210","0.41%"
"Aug 19, 2019","7.280","7.180","7.300","7.160","1.39%"
"Aug 16, 2019","7.180","7.305","7.305","7.180","-0.90%"
"Aug 15, 2019","7.245","7.260","7.335","7.200","-0.14%"
"Aug 14, 2019","7.255","7.215","7.270","7.185","0.69%"
"Aug 13, 2019","7.205","7.245","7.245","7.145","0.00%"
"Aug 12, 2019","7.205","7.245","7.365","7.195","0.56%"
"Aug 09, 2019","7.165","7.175","7.215","7.155","0.28%"
"Aug 08, 2019","7.145","7.210","7.210","7.130","-0.63%"
"Aug 07, 2019","7.190","7.360","7.360","7.180","-1.03%"
"Aug 06, 2019","7.265","7.390","7.390","7.250","-1.56%"
"Aug 05, 2019","7.380","7.310","7.380","7.290","1.79%"
"Aug 02, 2019","7.250","7.260","7.330","7.220","-0.41%"
"Aug 01, 2019","7.280","7.230","7.300","7.100","0.41%"
"Jul 31, 2019","7.250","7.270","7.280","7.160","0.55%"
"Jul 30, 2019","7.210","7.220","7.300","7.195","-0.07%"
"Jul 29, 2019","7.215","7.215","7.215","7.215","-0.21%"
"Jul 26, 2019","7.230","7.260","7.280","7.220","-0.41%"
"Jul 25, 2019","7.260","7.190","7.280","7.150","0.97%"
"Jul 24, 2019","7.190","7.230","7.230","7.180","-0.55%"
"Jul 23, 2019","7.230","7.345","7.350","7.210","-0.75%"
"Jul 22, 2019","7.285","7.305","7.305","7.275","-0.55%"
"Jul 19, 2019","7.325","7.360","7.360","7.260","0.62%"
"Jul 18, 2019","7.280","7.330","7.330","7.260","-0.55%"
"Jul 17, 2019","7.320","7.320","7.400","7.290","-0.27%"
"Jul 16, 2019","7.340","7.260","7.340","7.220","1.10%"
"Jul 15, 2019","7.260","7.270","7.280","7.210","-0.27%"
"Jul 12, 2019","7.280","7.200","7.280","7.170","1.11%"
"Jul 11, 2019","7.200","7.180","7.260","7.160","-0.28%"
"Jul 10, 2019","7.220","7.250","7.260","7.190","-1.10%"
"Jul 08, 2019","7.300","7.370","7.420","7.290","-1.35%"
"Jul 05, 2019","7.400","7.310","7.400","7.310","1.37%"
"Jul 04, 2019","7.300","7.320","7.350","7.250","-0.54%"
"Jul 03, 2019","7.340","7.390","7.390","7.225","-0.14%"
"Jul 02, 2019","7.350","7.390","7.420","7.230","0.55%"
"Jul 01, 2019","7.310","7.420","7.420","7.300","-2.27%"
"Jun 28, 2019","7.480","7.650","7.650","7.430","-1.45%"
"Jun 27, 2019","7.590","7.670","7.670","7.580","-0.52%"
"Jun 26, 2019","7.630","7.705","7.715","7.575","-1.10%"
"Jun 25, 2019","7.715","7.740","7.740","7.615","0.33%"
"Jun 24, 2019","7.690","7.720","7.730","7.650","0.13%"
"Jun 21, 2019","7.680","7.945","7.945","7.670","-1.98%"
"Jun 19, 2019","7.835","7.990","8.020","7.835","-1.69%"
"Jun 18, 2019","7.970","7.950","7.970","7.860","0.25%"
"Jun 17, 2019","7.950","7.950","7.980","7.880","0.51%"
"Jun 14, 2019","7.910","7.930","8.000","7.860","0.38%"
"Jun 13, 2019","7.880","7.980","8.000","7.880","-1.87%"
"Jun 12, 2019","8.030","8.020","8.050","7.910","0.37%"
"Jun 11, 2019","8.000","8.190","8.190","7.955","-2.20%"
"Jun 10, 2019","8.180","8.150","8.190","8.090","0.00%"
"Jun 07, 2019","8.180","8.260","8.270","8.120","-0.73%"
"Jun 06, 2019","8.240","8.310","8.310","8.195","-0.72%"
"Jun 05, 2019","8.300","8.180","8.320","8.150","0.97%"
"Jun 04, 2019","8.220","8.300","8.320","8.165","-0.48%"
"Jun 03, 2019","8.260","8.510","8.510","8.260","-2.48%"
"May 31, 2019","8.470","8.490","8.540","8.425","0.36%"
"May 30, 2019","8.440","8.510","8.580","8.430","-0.82%"
"May 29, 2019","8.510","8.740","8.740","8.460","-1.62%"
"May 28, 2019","8.650","8.840","8.840","8.640","-1.70%"
"May 27, 2019","8.800","8.840","8.840","8.760","-0.79%"
"May 24, 2019","8.870","8.830","8.880","8.780","0.45%"
"May 23, 2019","8.830","8.940","8.940","8.815","-0.34%"
"May 22, 2019","8.860","8.850","8.880","8.800","0.57%"
"May 21, 2019","8.810","9.100","9.100","8.810","-2.22%"
"May 20, 2019","9.010","9.150","9.150","8.990","-0.99%"
"May 17, 2019","9.100","9.010","9.170","9.010","1.22%"
"May 16, 2019","8.990","8.890","9.010","8.870","1.01%"
"May 15, 2019","8.900","8.860","8.910","8.800","1.02%"
"May 14, 2019","8.810","8.900","8.900","8.770","-1.01%"
"May 13, 2019","8.900","8.850","8.900","8.805","1.25%"
"May 10, 2019","8.790","8.800","8.810","8.740","-0.23%"
"May 09, 2019","8.810","8.870","8.870","8.790","-0.23%"
"May 08, 2019","8.830","8.900","8.900","8.780","-0.56%"
"May 07, 2019","8.880","8.935","8.945","8.870","-0.28%"
"May 06, 2019","8.905","8.945","8.955","8.870","0.11%"
"May 03, 2019","8.895","9.035","9.065","8.895","-1.00%"
"May 02, 2019","8.985","8.970","9.035","8.965","0.22%"
"Apr 30, 2019","8.965","9.005","9.035","8.945","-0.44%"
"Apr 29, 2019","9.005","8.965","9.045","8.950","0.39%"
"Apr 26, 2019","8.970","8.990","9.040","8.955","-0.11%"
"Apr 25, 2019","8.980","9.020","9.050","8.970","-0.77%"
"Apr 24, 2019","9.050","8.890","9.050","8.840","1.91%"
"Apr 23, 2019","8.880","8.960","8.960","8.860","-1.11%"
"Apr 22, 2019","8.980","8.980","9.000","8.930","0.22%"
"Apr 18, 2019","8.960","8.990","9.010","8.900","-0.55%"
"Apr 17, 2019","9.010","8.970","9.050","8.920","0.33%"
"Apr 16, 2019","8.980","8.950","9.000","8.920","0.79%"
"Apr 15, 2019","8.910","8.990","9.000","8.890","-0.78%"
"Apr 12, 2019","8.980","9.080","9.080","8.900","0.56%"
"Apr 11, 2019","8.930","8.990","9.000","8.885","0.11%"
"Apr 10, 2019","8.920","8.990","9.020","8.870","-0.78%"
"Apr 09, 2019","8.990","9.030","9.050","8.990","0.11%"
"Apr 08, 2019","8.980","8.930","9.010","8.920","0.45%"
"Apr 05, 2019","8.940","8.950","8.950","8.870","0.11%"
"Apr 04, 2019","8.930","9.050","9.060","8.910","-0.89%"
"Apr 03, 2019","9.010","8.960","9.040","8.860","1.12%"
"Apr 02, 2019","8.910","8.870","8.930","8.850","0.45%"
"Apr 01, 2019","8.870","8.895","8.940","8.850","-1.28%"
"Mar 29, 2019","8.985","8.940","9.005","8.830","0.73%"
"Mar 28, 2019","8.920","9.370","9.430","8.900","-4.70%"
"Mar 27, 2019","9.360","9.270","9.370","9.090","3.31%"
"Mar 26, 2019","9.060","9.060","9.060","8.920","0.50%"
"Mar 25, 2019","9.015","9.085","9.250","8.970","-1.37%"
"Mar 22, 2019","9.140","8.910","9.140","8.900","4.34%"
"Mar 21, 2019","8.760","8.770","8.930","8.680","0.46%"
"Mar 20, 2019","8.720","8.850","8.850","8.680","-0.80%"
"Mar 19, 2019","8.790","8.800","8.800","8.700","0.00%"
"Mar 18, 2019","8.790","8.825","8.860","8.780","-0.45%"
"Mar 15, 2019","8.830","8.910","8.920","8.780","-0.17%"
"Mar 14, 2019","8.845","8.810","8.900","8.770","1.09%"
"Mar 13, 2019","8.750","8.825","8.825","8.740","-0.74%"
"Mar 12, 2019","8.815","9.055","9.065","8.795","-0.90%"
"Mar 11, 2019","8.895","8.930","8.950","8.850","-1.39%"
"Mar 08, 2019","9.020","9.080","9.080","8.980","-0.55%"
"Mar 07, 2019","9.070","9.180","9.180","9.060","-0.55%"
"Mar 06, 2019","9.120","9.050","9.200","9.050","0.33%"
"Mar 01, 2019","9.090","9.040","9.130","9.010","0.78%"
"Feb 28, 2019","9.020","9.010","9.050","8.980","0.56%"
"Feb 27, 2019","8.970","9.020","9.020","8.940","-0.44%"
"Feb 26, 2019","9.010","9.050","9.050","8.950","0.22%"
"Feb 25, 2019","8.990","8.950","9.000","8.890","0.67%"
"Feb 22, 2019","8.930","9.200","9.210","8.910","-0.78%"
"Feb 21, 2019","9.000","8.970","9.020","8.945","0.33%"
"Feb 20, 2019","8.970","8.795","9.000","8.750","1.82%"
"Feb 19, 2019","8.810","8.910","8.930","8.770","-1.12%"
"Feb 18, 2019","8.910","8.780","8.930","8.770","1.60%"
"Feb 15, 2019","8.770","8.770","8.770","8.770","-0.34%"
"Feb 14, 2019","8.800","8.950","9.010","8.770","-1.57%"
"Feb 13, 2019","8.940","9.000","9.010","8.870","-0.22%"
"Feb 12, 2019","8.960","9.080","9.080","8.960","-0.99%"
"Feb 11, 2019","9.050","9.020","9.160","8.980","0.00%"
"Feb 08, 2019","9.050","8.980","9.180","8.930","0.78%"
"Feb 07, 2019","8.980","8.940","9.030","8.910","0.56%"
"Feb 06, 2019","8.930","8.740","9.030","8.740","1.36%"
"Feb 05, 2019","8.810","8.750","8.880","8.740","0.69%"
"Feb 04, 2019","8.750","8.830","8.880","8.730","0.46%"
"Feb 01, 2019","8.710","8.850","8.910","8.710","-1.80%"
"Jan 31, 2019","8.870","9.050","9.050","8.800","-2.10%"
"Jan 30, 2019","9.060","9.040","9.140","8.950","0.22%"
"Jan 29, 2019","9.040","9.140","9.140","9.000","-0.99%"
"Jan 28, 2019","9.130","9.070","9.180","9.070","0.66%"
"Jan 25, 2019","9.070","9.070","9.070","9.070","-0.44%"
"Jan 24, 2019","9.110","9.090","9.120","8.970","1.56%"
