,date,high,low,open,close,volume,adjclose,formatted_date,ticker,type
0,946900800,17408.0,16719.0,17098.0,16930.0,0.0,16930.0,2000-01-03,^BVSP,INDEX
1,946987200,16908.0,15851.0,16908.0,15851.0,0.0,15851.0,2000-01-04,^BVSP,INDEX
2,947073600,16302.0,15350.0,15871.0,16245.0,0.0,16245.0,2000-01-05,^BVSP,INDEX
3,947160000,16499.0,15977.0,16237.0,16107.0,0.0,16107.0,2000-01-06,^BVSP,INDEX
4,947246400,16449.0,16125.0,16125.0,16309.0,0.0,16309.0,2000-01-07,^BVSP,INDEX
5,947505600,17057.0,16325.0,16325.0,17022.0,0.0,17022.0,2000-01-10,^BVSP,INDEX
6,947592000,17197.0,16573.0,17045.0,16573.0,0.0,16573.0,2000-01-11,^BVSP,INDEX
7,947678400,16724.0,16331.0,16574.0,16617.0,0.0,16617.0,2000-01-12,^BVSP,INDEX
8,947764800,17715.0,16663.0,16663.0,17298.0,0.0,17298.0,2000-01-13,^BVSP,INDEX
9,947851200,17800.0,17306.0,17306.0,17658.0,0.0,17658.0,2000-01-14,^BVSP,INDEX
10,948110400,18099.0,17678.0,17678.0,18053.0,0.0,18053.0,2000-01-17,^BVSP,INDEX
11,948196800,18062.0,17625.0,18062.0,17903.0,0.0,17903.0,2000-01-18,^BVSP,INDEX
12,948283200,18075.0,17470.0,17905.0,17470.0,0.0,17470.0,2000-01-19,^BVSP,INDEX
13,948369600,17622.0,17029.0,17487.0,17177.0,0.0,17177.0,2000-01-20,^BVSP,INDEX
14,948456000,17372.0,16901.0,17188.0,17034.0,0.0,17034.0,2000-01-21,^BVSP,INDEX
15,948715200,17263.0,16972.0,17049.0,16972.0,0.0,16972.0,2000-01-24,^BVSP,INDEX
16,948801600,,,,,,,2000-01-25,^BVSP,INDEX
17,948888000,17105.0,16727.0,16972.0,17105.0,0.0,17105.0,2000-01-26,^BVSP,INDEX
18,948974400,17422.0,17081.0,17114.0,17081.0,0.0,17081.0,2000-01-27,^BVSP,INDEX
19,949060800,17252.0,16547.0,17150.0,16734.0,0.0,16734.0,2000-01-28,^BVSP,INDEX
20,949320000,16749.0,16167.0,16744.0,16388.0,0.0,16388.0,2000-01-31,^BVSP,INDEX
21,949406400,16675.0,16389.0,16389.0,16522.0,0.0,16522.0,2000-02-01,^BVSP,INDEX
22,949492800,16875.0,16546.0,16546.0,16868.0,0.0,16868.0,2000-02-02,^BVSP,INDEX
23,949579200,17457.0,16892.0,16892.0,17457.0,0.0,17457.0,2000-02-03,^BVSP,INDEX
24,949665600,17962.0,17471.0,17471.0,17932.0,0.0,17932.0,2000-02-04,^BVSP,INDEX
25,949924800,18126.0,17746.0,17937.0,18126.0,0.0,18126.0,2000-02-07,^BVSP,INDEX
26,950011200,18729.0,18249.0,18249.0,18686.0,0.0,18686.0,2000-02-08,^BVSP,INDEX
27,950097600,18886.0,18224.0,18759.0,18361.0,0.0,18361.0,2000-02-09,^BVSP,INDEX
28,950184000,18672.0,18155.0,18367.0,18604.0,0.0,18604.0,2000-02-10,^BVSP,INDEX
29,950270400,18775.0,18027.0,18635.0,18083.0,0.0,18083.0,2000-02-11,^BVSP,INDEX
30,950529600,18264.0,17746.0,18083.0,17819.0,0.0,17819.0,2000-02-14,^BVSP,INDEX
31,950616000,17932.0,17451.0,17818.0,17921.0,0.0,17921.0,2000-02-15,^BVSP,INDEX
32,950702400,18247.0,17743.0,17921.0,18112.0,0.0,18112.0,2000-02-16,^BVSP,INDEX
33,950788800,18297.0,17979.0,18116.0,17979.0,0.0,17979.0,2000-02-17,^BVSP,INDEX
34,950875200,18008.0,17489.0,17979.0,17625.0,0.0,17625.0,2000-02-18,^BVSP,INDEX
35,951134400,17887.0,17364.0,17626.0,17700.0,0.0,17700.0,2000-02-21,^BVSP,INDEX
36,951220800,17913.0,17466.0,17698.0,17489.0,0.0,17489.0,2000-02-22,^BVSP,INDEX
37,951307200,17855.0,17479.0,17489.0,17833.0,0.0,17833.0,2000-02-23,^BVSP,INDEX
38,951393600,18119.0,17706.0,17846.0,17776.0,0.0,17776.0,2000-02-24,^BVSP,INDEX
39,951480000,17988.0,17758.0,17784.0,17787.0,0.0,17787.0,2000-02-25,^BVSP,INDEX
40,951742800,17787.0,17383.0,17787.0,17543.0,0.0,17543.0,2000-02-28,^BVSP,INDEX
41,951829200,17818.0,17545.0,17545.0,17660.0,0.0,17660.0,2000-02-29,^BVSP,INDEX
42,951915600,17953.0,17655.0,17668.0,17953.0,0.0,17953.0,2000-03-01,^BVSP,INDEX
43,952002000,18154.0,17809.0,17966.0,18016.0,0.0,18016.0,2000-03-02,^BVSP,INDEX
44,952088400,18632.0,18016.0,18016.0,18632.0,0.0,18632.0,2000-03-03,^BVSP,INDEX
45,952347600,,,,,,,2000-03-06,^BVSP,INDEX
46,952434000,,,,,,,2000-03-07,^BVSP,INDEX
47,952520400,18617.0,18184.0,18617.0,18283.0,0.0,18283.0,2000-03-08,^BVSP,INDEX
48,952606800,18650.0,18285.0,18285.0,18650.0,0.0,18650.0,2000-03-09,^BVSP,INDEX
49,952693200,18720.0,18233.0,18650.0,18280.0,0.0,18280.0,2000-03-10,^BVSP,INDEX
50,952952400,18279.0,17506.0,18279.0,17595.0,0.0,17595.0,2000-03-13,^BVSP,INDEX
51,953038800,17941.0,17222.0,17595.0,17222.0,0.0,17222.0,2000-03-14,^BVSP,INDEX
52,953125200,17469.0,16922.0,17229.0,17382.0,0.0,17382.0,2000-03-15,^BVSP,INDEX
53,953211600,17661.0,17397.0,17397.0,17642.0,0.0,17642.0,2000-03-16,^BVSP,INDEX
54,953298000,17733.0,17470.0,17654.0,17511.0,0.0,17511.0,2000-03-17,^BVSP,INDEX
55,953557200,17733.0,17435.0,17511.0,17526.0,0.0,17526.0,2000-03-20,^BVSP,INDEX
56,953643600,18343.0,17510.0,17528.0,18343.0,0.0,18343.0,2000-03-21,^BVSP,INDEX
57,953730000,18860.0,18314.0,18346.0,18314.0,0.0,18314.0,2000-03-22,^BVSP,INDEX
58,953816400,18644.0,18183.0,18314.0,18331.0,0.0,18331.0,2000-03-23,^BVSP,INDEX
59,953902800,18692.0,18332.0,18332.0,18675.0,0.0,18675.0,2000-03-24,^BVSP,INDEX
60,954162000,19047.0,18533.0,18675.0,18951.0,0.0,18951.0,2000-03-27,^BVSP,INDEX
61,954248400,18960.0,18335.0,18952.0,18338.0,0.0,18338.0,2000-03-28,^BVSP,INDEX
62,954334800,18575.0,17973.0,18339.0,18053.0,0.0,18053.0,2000-03-29,^BVSP,INDEX
63,954421200,18053.0,17455.0,18053.0,17647.0,0.0,17647.0,2000-03-30,^BVSP,INDEX
64,954507600,17950.0,17560.0,17660.0,17820.0,0.0,17820.0,2000-03-31,^BVSP,INDEX
65,954766800,17826.0,17173.0,17826.0,17245.0,0.0,17245.0,2000-04-03,^BVSP,INDEX
66,954853200,17450.0,16095.0,17253.0,16758.0,0.0,16758.0,2000-04-04,^BVSP,INDEX
67,954939600,17043.0,16230.0,16762.0,16714.0,0.0,16714.0,2000-04-05,^BVSP,INDEX
68,955026000,17152.0,16719.0,16719.0,17146.0,0.0,17146.0,2000-04-06,^BVSP,INDEX
69,955112400,17514.0,17150.0,17150.0,17514.0,0.0,17514.0,2000-04-07,^BVSP,INDEX
70,955371600,17572.0,16782.0,17519.0,16783.0,0.0,16783.0,2000-04-10,^BVSP,INDEX
