,ticker,first_trade_date,first_trade_formatted_date,currency,instrument_type,time_zone_gmt_offset
0,BBAS3,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
1,BGIP3,1535719500.0,2018-08-31,BRL,EQUITY,-7200.0
2,BGIP4,1199274300.0,2008-01-02,BRL,EQUITY,-7200.0
3,BEES3,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
4,BEES4,1211892300.0,2008-05-27,BRL,EQUITY,-7200.0
5,BPAR3,1556196300.0,2019-04-25,BRL,EQUITY,-7200.0
6,BRSR3,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
7,BRSR5,1534423500.0,2018-08-16,BRL,EQUITY,-7200.0
8,BNBR3,946986300.0,2000-01-04,BRL,EQUITY,-7200.0
9,BMIN3,1530535500.0,2018-07-02,BRL,EQUITY,-7200.0
10,BMIN4,1551876300.0,2019-03-06,BRL,EQUITY,-7200.0
11,BMEB3,963837900.0,2000-07-17,BRL,EQUITY,-7200.0
12,BMEB4,1199274300.0,2008-01-02,BRL,EQUITY,-7200.0
13,BRIV3,946986300.0,2000-01-04,BRL,EQUITY,-7200.0
14,BRIV4,1199274300.0,2008-01-02,BRL,EQUITY,-7200.0
15,BDLL3,1551271500.0,2019-02-27,BRL,EQUITY,-7200.0
16,BDLL4,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
17,BALM3,1557751500.0,2019-05-13,BRL,EQUITY,-7200.0
18,BALM4,1558529100.0,2019-05-22,BRL,EQUITY,-7200.0
19,BAUH3,1551258000.0,2019-02-27,,MUTUALFUND,-18000.0
20,BAUH4,1199274300.0,2008-01-02,BRL,EQUITY,-7200.0
21,BMKS3,947072700.0,2000-01-05,BRL,EQUITY,-7200.0
22,BMTO3,,,,,-18000.0
23,BMTO4,,,,,-18000.0
24,BUET3,1521014400.0,2018-03-14,,MUTUALFUND,-18000.0
25,BUET4,,,,,-18000.0
26,CAMB3,1227613500.0,2008-11-25,BRL,EQUITY,-7200.0
27,CAMB4,946986300.0,2000-01-04,BRL,EQUITY,-7200.0
28,RANI3,946986300.0,2000-01-04,BRL,EQUITY,-7200.0
29,RANI4,1199792700.0,2008-01-08,BRL,EQUITY,-7200.0
30,CMIG3,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
31,CMIG4,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
32,CLSC3,1561466700.0,2019-06-25,BRL,EQUITY,-7200.0
33,CLSC4,1327059900.0,2012-01-20,BRL,EQUITY,-7200.0
34,CBEE3,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
35,FESA3,948282300.0,2000-01-19,BRL,EQUITY,-7200.0
36,FESA4,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
37,CEDO3,1536669900.0,2018-09-11,BRL,EQUITY,-7200.0
38,CEDO4,1199360700.0,2008-01-03,BRL,EQUITY,-7200.0
39,CSAB3,1555332300.0,2019-04-15,BRL,EQUITY,-7200.0
40,CSAB4,1199706300.0,2008-01-07,BRL,EQUITY,-7200.0
41,CTNM3,946986300.0,2000-01-04,BRL,EQUITY,-7200.0
42,CTNM4,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
43,IMBI3,1521014400.0,2018-03-14,,,-18000.0
44,IMBI4,,,,,-18000.0
45,REDE3,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
46,REDE4,,,,,-18000.0
47,EEEL3,1284468300.0,2010-09-14,BRL,EQUITY,-7200.0
48,EEEL4,1294055100.0,2011-01-03,BRL,EQUITY,-7200.0
49,HBTS3,,,,,-18000.0
50,HBTS5,1558442700.0,2019-05-21,BRL,EQUITY,-7200.0
51,CATA3,,,,,
52,CATA4,,,,,
53,SCLO3,,,,,-18000.0
54,SCLO4,,,,,-18000.0
55,MSPA3,947245500.0,2000-01-07,BRL,EQUITY,-7200.0
56,MSPA4,1555332300.0,2019-04-15,BRL,EQUITY,-7200.0
57,CRIV3,946986300.0,2000-01-04,BRL,EQUITY,-7200.0
58,CRIV4,1148474700.0,2006-05-24,BRL,EQUITY,-7200.0
59,GGBR3,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
60,GGBR4,957271500.0,2000-05-02,BRL,EQUITY,-7200.0
61,CSNA3,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
62,CRUZ3,,,,,-18000.0
63,CTSA3,972301500.0,2000-10-23,BRL,EQUITY,-7200.0
64,CTSA4,961159500.0,2000-06-16,BRL,EQUITY,-7200.0
65,CTKA3,948195900.0,2000-01-18,BRL,EQUITY,-7200.0
66,CTKA4,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
67,VALE3,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
68,VALE5,1521014400.0,2018-03-14,,,-18000.0
69,ELEK3,1546947900.0,2019-01-08,BRL,EQUITY,-7200.0
70,ELEK4,1066736700.0,2003-10-21,BRL,EQUITY,-7200.0
71,CBMA3,1521014400.0,2018-03-14,,,-18000.0
72,CBMA4,1521014400.0,2018-03-14,,MUTUALFUND,-18000.0
73,CGRA3,964442700.0,2000-07-24,BRL,EQUITY,-7200.0
74,CGRA4,946899900.0,2000-01-03,BRL,EQUITY,-7200.0
75,GUAR3,1551876300.0,2019-03-06,BRL,EQUITY,-7200.0
76,GUAR4,,,,,
77,ODER3,,,,,
78,ODER4,1505116800.0,2017-09-11,,MUTUALFUND,-18000.0
